"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","use_for_first_analysis","use_for_trophic_analysis","Highest_taxonomic_resolution","sampling_season","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_annual_dist","time_after_dist_start","Country","Validity","Functional_group_size.y","body_length.y","body_width_taxa","mean_width","control_SD","dist_SD","lat","lon","trophic_to_use","exoskeleton","trap","study_year","cv_Control","cv_Experimental","geary_control","geary_trt","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"31","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","drought","undisturbed vs disturbed",1.52,1.88,0.17,0.06,"SE",4,4,"belowground",-35,NA,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,0.12,0.34,56.55,13.2166666666667,NA,"yes","Other",2006,0.0638297872340425,0.223684210526316,58.9803921568627,16.8304498269896,"pass",-0.206816393946118,0.0135665929325402,-0.212561441983673,0.0135272169442811,0.0057450480375548,0.116306564493502,8,0.5,0.707106781186548,1.5437
"32","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","drought","undisturbed vs disturbed",1.51,1.94,0.17,0.06,"SE",4,4,"belowground",-35,NA,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,0.12,0.34,56.55,13.2166666666667,NA,"yes","Other",2006,0.0618556701030928,0.225165562913907,60.8627450980392,16.719723183391,"pass",-0.244719146398599,0.0136718055621809,-0.250578322248404,0.0136314136615598,0.0058591758498043,0.116753645174615,8,0.5,0.707106781186548,1.5437
"33","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Winter","drought","undisturbed vs disturbed",1.22,1.42,NA,NA,NA,7,7,"belowground",-100,120,"Greece","Medium validity","mesofauna","Collembola","Collembola",1.0651,NA,NA,40.4333333333333,23.5666666666667,"detritivore-fungivore","yes","Other",2005,NA,NA,NA,NA,NA,-1.87120847441095,7.60525364867349,-0.151806012868004,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"34","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Winter","drought","undisturbed vs disturbed",1.93,2.02,NA,NA,NA,7,7,"belowground",-100,120,"Greece","Medium validity","mesofauna","Oribatida","Acari",1.1158,NA,NA,40.4333333333333,23.5666666666667,NA,"yes","Other",2005,NA,NA,NA,NA,NA,-1.76497997003927,7.60525364867349,-0.0455775084963193,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"35","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Winter","precip_inc","undisturbed vs disturbed",1.83,1.42,NA,NA,NA,7,7,"belowground",34.935305,120,"Greece","Medium validity","mesofauna","Collembola","Collembola",1.0651,NA,NA,40.4333333333333,23.5666666666667,"detritivore-fungivore","yes","Other",2005,NA,NA,NA,NA,NA,-1.46574336630279,7.60525364867349,0.25365909524016,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"36","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Winter","precip_inc","undisturbed vs disturbed",1.58,2.02,NA,NA,NA,7,7,"belowground",34.935305,120,"Greece","Medium validity","mesofauna","Oribatida","Acari",1.1158,NA,NA,40.4333333333333,23.5666666666667,NA,"yes","Other",2005,NA,NA,NA,NA,NA,-1.96507512591719,7.60525364867349,-0.245672664374238,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"37","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Winter","precip_inc","undisturbed vs disturbed",1.45,1.42,NA,NA,NA,7,7,"belowground",38.4103512,120,"Greece","Medium validity","mesofauna","Collembola","Collembola",1.0651,NA,NA,40.4333333333333,23.5666666666667,"detritivore-fungivore","yes","Other",2005,NA,NA,NA,NA,NA,-1.69849577672364,7.60525364867349,0.0209066848193136,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"38","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Winter","precip_inc","undisturbed vs disturbed",2.22,2.02,NA,NA,NA,7,7,"belowground",38.4103512,120,"Greece","Medium validity","mesofauna","Oribatida","Acari",1.1158,NA,NA,40.4333333333333,23.5666666666667,NA,"yes","Other",2005,NA,NA,NA,NA,NA,-1.62499277707188,7.60525364867349,0.0944096844710748,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"39","Wang_2021a","Wang_2021a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Nematoda","Summer","drought","undisturbed vs disturbed",2.93,3.21,0.17,0.07,"SE",3,3,"belowground",-30,3590,"China","Medium validity","microfauna","Nematoda","Nematoda",0.0634,0.121243556529821,0.294448637286709,42.4,128.1,NA,"no","Other",2021,0.0377705783581998,0.100494415456215,84.6593406593407,31.8190045248869,"pass",-0.0898230956215529,0.00384480436501973,-0.0912685141129485,0.00384191470913307,0.00144541849139558,0.0619831808568507,6,0.666666666666667,0.816496580927726,0.7591
"40","Wang_2021a","Wang_2021a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Nematoda","Summer","drought","undisturbed vs disturbed",24.59770115,20.91954023,1.609195402,4.137931034,"SE",3,3,"belowground",-30,3590,"China","Medium validity","microfauna","Nematoda","Nematoda",0.0634,7.16710678910402,2.78720819557022,42.4,128.1,NA,"no","Other",2021,0.342603456400343,0.113311735050908,9.3333333344735,28.2197802256804,"pass",0.14454639812339,0.0437928437759858,0.161969327962926,0.0434055592125696,0.0174229298395356,0.208340008669889,6,0.666666666666667,0.816496580927726,0.7591
"41","Guidi_2022","Guidi_2022_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Acari","Summer","precip_inc","undisturbed vs disturbed",2,2,0.1,0.2,"SE",4,4,"aboveground",-100,4366,"Switzerland","Medium validity","mesofauna","Acari","Acari",1.1158,0.4,0.2,46.3,7.61666666666667,NA,"yes","Other",2022,0.2,0.1,18.8235294117647,37.6470588235294,"pass",-0.00375,0.0125265625,0,0.0125,0.00375,0.111803398874989,8,0.5,0.707106781186548,0.8911
"42","Guidi_2022","Guidi_2022_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Acari","Summer","precip_inc","undisturbed vs disturbed",1.9,2.1,0.1,0.1,"SE",4,4,"belowground",-100,4366,"Switzerland","Medium validity","mesofauna","Acari","Acari",1.1158,0.2,0.2,46.3,7.61666666666667,NA,"yes","Other",2022,0.0952380952380952,0.105263157894737,39.5294117647059,35.7647058823529,"pass",-0.0998322038538087,0.00504086061135374,-0.100083458556983,0.0050376567986382,0.000251254703173998,0.0709764524235905,8,0.5,0.707106781186548,0.8911
"43","Guidi_2022","Guidi_2022_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Collembola","Summer","precip_inc","undisturbed vs disturbed",0.5,0.7,0.2,0.2,"SE",4,4,"aboveground",-100,4366,"Switzerland","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.4,0.4,46.3,7.61666666666667,NA,"yes","Other",2022,0.571428571428572,0.8,6.58823529411765,4.70588235294118,"pass",-0.297288563151825,0.249698625572678,-0.336472236621213,0.241632653061225,0.0391836734693878,0.491561443831007,8,0.5,0.707106781186548,0.8911
"44","Guidi_2022","Guidi_2022_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Collembola","Summer","precip_inc","undisturbed vs disturbed",0.7,0.8,0.2,0.2,"SE",4,4,"belowground",-100,4366,"Switzerland","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.4,0.4,46.3,7.61666666666667,NA,"yes","Other",2022,0.5,0.571428571428572,7.52941176470588,6.58823529411765,"pass",-0.123965066093911,0.146775188072678,-0.133531392624523,0.144132653061225,0.00956632653061223,0.379648064740523,8,0.5,0.707106781186548,0.8911
