"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","Highest_taxonomic_resolution","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_during_dist","perc_annual_dist","time_after_dist_end","Functional_group_size","Country","exp_obs","before_after","controlled","blocked","paired","randomized","Validity","lat","lon","trophic_to_use","exoskeleton","study_year","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"42","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Mesostigmata","drought","undisturbed vs disturbed",1552.795031,7608.695652,NA,854.0372671,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,NA,-1.30698192534051,0.673006759803141,-1.58923520512972,NA,0.282253279789215,NA,8,0.5,0.707106781186548,1.5437
"43","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Mesostigmata","drought","undisturbed vs disturbed",2251.552795,7453.416149,310.5590062,543.4782609,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-1.1901982964889,0.0244393651222151,-1.19705236148599,0.0243418105511097,0.0068540649970843,0.156018622449725,8,0.5,0.707106781186548,1.5437
"44","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Mesostigmata","drought","undisturbed vs disturbed",7763.975155,18322.98137,2018.63354,1785.714286,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.829610613818268,0.0782629820113487,-0.858661619266739,0.0770979890628728,0.0290510054484708,0.277665246408103,8,0.5,0.707106781186548,1.5437
"45","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Mesostigmata","drought","undisturbed vs disturbed",7375.776398,11645.96273,698.757764,698.757764,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-0.454070867554626,0.0125984472206187,-0.456758402179364,0.0125750692535975,0.00268753462473803,0.112138616246133,8,0.5,0.707106781186548,1.5437
"46","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Mesostigmata","drought","undisturbed vs disturbed",1863.354037,7453.416149,931.6770186,543.4782609,"SE",4,4,"belowground",-70,-35,365,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-1.26395278136646,0.270948907536482,-1.38629436125406,0.255316840332137,0.122341579887598,0.505288868205245,8,0.5,0.707106781186548,1.5437
"47","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Mesostigmata","drought","undisturbed vs disturbed",3416.149068,18322.98137,1708.074534,1785.714286,"SE",4,4,"belowground",-70,-35,730,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-1.5593911659366,0.275145542032121,-1.67964217139511,0.259497989082966,0.120251005458517,0.509409451309029,8,0.5,0.707106781186548,1.5437
"48","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Mesostigmata","drought","undisturbed vs disturbed",3105.590062,11645.96273,1552.795031,698.757764,"SE",4,4,"belowground",-70,-35,1095,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2006,"pass",-1.19855583976868,0.269228240002065,-1.32175583976765,0.253600000002061,0.12319999999897,0.503587132482613,8,0.5,0.707106781186548,1.5437
"49","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Oribatida","drought","undisturbed vs disturbed",15759.31232,119627.5072,5014.326648,28653.29513,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,NA,"yes",2006,"pass",-2.00501666936301,0.161995163973414,-2.02695135942321,0.158609958781319,0.0219346900601951,0.398258658137296,8,0.5,0.707106781186548,1.5437
"50","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Oribatida","drought","undisturbed vs disturbed",37249.28367,131805.1576,15042.97994,13610.31519,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,NA,"yes",2006,"pass",-1.1874775846614,0.180432673898085,-1.26369203901589,0.173754523085237,0.0762144543544852,0.416838725510523,8,0.5,0.707106781186548,1.5437
"51","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Oribatida","drought","undisturbed vs disturbed",131805.1576,179799.4269,19340.97421,16475.6447,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,NA,"yes",2006,"pass",-0.303949341144023,0.0300626013889066,-0.310517181280983,0.0299290645140386,0.00656784013696016,0.173000186456658,8,0.5,0.707106781186548,1.5437
"52","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Oribatida","drought","undisturbed vs disturbed",138968.4814,120343.8395,58022.92264,13610.31519,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,NA,"yes",2006,"pass",0.224662799356978,0.194756746529811,0.143894180182627,0.187118304140112,0.0807686191743507,0.432571732941615,8,0.5,0.707106781186548,1.5437
