Site_ID,broad_outcome,detailed_outcome,is_subset,Highest_taxonomic_resolution,body_size,trophic_group,sampling_method,sampling_month,sampling_season,disturbance_type,comparison_type,disturbance_av,control_av,disturbance_av_before,control_av_before,av_type,unit,dist_var,control_var,dist_var_before,control_var_before,var_type,dist_n,control_n,description_data_extraction,significant,approx_p_val,exact_p_val,exact_z_val,sample_area,sampling_depth,dist_strength_during,annual_strength_dist,perc_during_dist,perc_annual_dist,time_after_dist_start,time_after_dist_end,TN,SOC,soil_moisture,soil_moisture_unit,soil_bulk_density ,function_info,log_tranformed,notes,,
Lindberg_2006a_1,abundance,NA,FALSE,Collembola,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,65249.26686,118035.1906,NA,NA,mean,density m-2,17595.30792,16129.03226,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,2920,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Collembola,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,30791.78886,50586.51026,NA,NA,mean,density m-2,3665.68915,5865.102639,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,3285,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Collembola,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,38123.16716,34457.47801,NA,NA,mean,density m-2,2199.41349,5131.964809,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,365,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Collembola,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,159090.9091,118035.1906,NA,NA,mean,density m-2,28592.37537,16129.03226,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,730,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Collembola,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,60850.43988,50586.51026,NA,NA,mean,density m-2,8064.516129,5865.102639,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,1095,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Mesostigmata,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,1552.795031,7608.695652,NA,NA,mean,density m-2,0,854.0372671,,,SE,4,4,p 497 fig 1,TRUE,<0.001,,NA,7854,10,70,35,70,35,2190,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Mesostigmata,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,2251.552795,7453.416149,NA,NA,mean,density m-2,310.5590062,543.4782609,,,SE,4,4,p 497 fig 1,TRUE,<0.001,,NA,7854,10,70,35,70,35,2555,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Mesostigmata,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,7763.975155,18322.98137,NA,NA,mean,density m-2,2018.63354,1785.714286,,,SE,4,4,p 497 fig 1,TRUE,<0.001,,NA,7854,10,70,35,70,35,2920,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Mesostigmata,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,7375.776398,11645.96273,NA,NA,mean,density m-2,698.757764,698.757764,,,SE,4,4,p 497 fig 1,TRUE,<0.01,0.062,NA,7854,10,70,35,70,35,3285,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Mesostigmata,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,1863.354037,7453.416149,NA,NA,mean,density m-2,931.6770186,543.4782609,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,365,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Mesostigmata,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,3416.149068,18322.98137,NA,NA,mean,density m-2,1708.074534,1785.714286,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,730,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Mesostigmata,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,3105.590062,11645.96273,NA,NA,mean,density m-2,1552.795031,698.757764,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,1095,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,18,26.1643836,NA,NA,mean,density m-2,1.260273973,2.02739726,,,SE,4,4,p 497 fig 1,TRUE,<0.001,NA,NA,7854,10,70,35,70,35,2190,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,19.31506849,25.4520548,NA,NA,mean,density m-2,1.260273973,0.657534247,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.005,NA,7854,10,70,35,70,35,2555,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Oribatida,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,19.47945205,25.7260274,NA,NA,mean,density m-2,1.260273973,1.863013699,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.005,NA,7854,10,70,35,70,35,2920,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Oribatida,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,19.20547945,24.1917808,NA,NA,mean,density m-2,2.082191781,1.643835616,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.02,NA,7854,10,70,35,70,35,3285,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,20.68493151,25.4520548,NA,NA,mean,density m-2,0.821917808,0.657534247,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.027,NA,7854,10,70,35,70,35,NA,365,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Oribatida,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,22.43835616,25.7260274,NA,NA,mean,density m-2,2.630136986,1.863013699,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,730,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Oribatida,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,22.16438356,24.1917808,NA,NA,mean,density m-2,0,1.643835616,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,1095,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,alpha diversity,richness,FALSE,Collembola,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,10.96062992,13.95275591,NA,NA,mean,density m-2,0.94488189,1.637795276,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.028,NA,7854,10,70,35,70,35,2190,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
