"","Study_ID","Site_ID","disturbance_type","Functional_group_size.y","Country","lat","lon"
"228","Riutta_2012a","Riutta_2012a_1","precip_inc","macrofauna","United Kingdom",51.7666666666667,-1.33333333333333
"229","Riutta_2012a","Riutta_2012a_1","precip_inc","macrofauna","United Kingdom",51.7666666666667,-1.33333333333333
"230","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"231","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"232","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"233","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"234","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"235","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"236","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"237","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"238","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"239","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"240","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"241","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"242","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"243","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"244","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"245","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"246","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"247","Santonja_2017a","Santonja_2017a_1","drought","mesofauna","France",43.9652777777778,5.87833333333333
"248","Taylor_2004a","Taylor_2004a_1","drought","microfauna","Germany",50.5166666666667,9.28333333333333
"249","Taylor_2004a","Taylor_2004a_1","drought","microfauna","Germany",50.5166666666667,9.28333333333333
"250","Taylor_2004a","Taylor_2004a_1","drought","microfauna","Germany",50.5166666666667,9.28333333333333
"251","Tsiafouli_2005a","Tsiafouli_2005a_1","drought","mesofauna","Greece",40.4333333333333,23.5666666666667
"252","Tsiafouli_2005a","Tsiafouli_2005a_1","drought","mesofauna","Greece",40.4333333333333,23.5666666666667
"253","Tsiafouli_2005a","Tsiafouli_2005a_1","drought","mesofauna","Greece",40.4333333333333,23.5666666666667
"254","Tsiafouli_2005a","Tsiafouli_2005a_1","drought","mesofauna","Greece",40.4333333333333,23.5666666666667
"255","Tsiafouli_2005a","Tsiafouli_2005a_1","drought","mesofauna","Greece",40.4333333333333,23.5666666666667
"256","Tsiafouli_2005a","Tsiafouli_2005a_1","drought","mesofauna","Greece",40.4333333333333,23.5666666666667
"257","Tsiafouli_2005a","Tsiafouli_2005a_1","drought","mesofauna","Greece",40.4333333333333,23.5666666666667
"258","Tsiafouli_2005a","Tsiafouli_2005a_1","drought","mesofauna","Greece",40.4333333333333,23.5666666666667
"259","Tsiafouli_2005a","Tsiafouli_2005a_1","precip_inc","mesofauna","Greece",40.4333333333333,23.5666666666667
"260","Tsiafouli_2005a","Tsiafouli_2005a_1","precip_inc","mesofauna","Greece",40.4333333333333,23.5666666666667
"261","Tsiafouli_2005a","Tsiafouli_2005a_1","precip_inc","mesofauna","Greece",40.4333333333333,23.5666666666667
"262","Tsiafouli_2005a","Tsiafouli_2005a_1","precip_inc","mesofauna","Greece",40.4333333333333,23.5666666666667
"263","Tsiafouli_2005a","Tsiafouli_2005a_1","precip_inc","mesofauna","Greece",40.4333333333333,23.5666666666667
"264","Tsiafouli_2005a","Tsiafouli_2005a_1","precip_inc","mesofauna","Greece",40.4333333333333,23.5666666666667
